time,open,high,low,close,volume,Plot,Plot 0
2025-01-04T00:00:00+00:00,98140,98759.602,97442.797,98177.203,31031.277,,
2025-01-05T00:00:00+00:00,98177.203,98828.5,97216,98340.5,39445.133,,
2025-01-06T00:00:00+00:00,98340.5,102471.7,97861,102185.9,107235.69,,
2025-01-07T00:00:00+00:00,102185.9,102702.1,96113.398,96908.102,140660.83,,
2025-01-08T00:00:00+00:00,96908.102,97224.297,92378.5,95022.203,156335.09,,
2025-01-09T00:00:00+00:00,95022.203,95356.602,91151,92507.703,136709.77,,
2025-01-10T00:00:00+00:00,92507.703,95873.602,92161.203,94684.203,140049.77,,
2025-01-11T00:00:00+00:00,94684.203,94991.898,93800,94569.398,32812.684,,
2025-01-12T00:00:00+00:00,94569.398,95439.898,93660,94510,37815.707,,
2025-01-13T00:00:00+00:00,94510,95954.797,89100,94508.203,192294.81,,96141.34
2025-01-14T00:00:00+00:00,94508.203,97395.5,94330.297,96523.297,106961.09,,95975.95
2025-01-15T00:00:00+00:00,96523.297,100700,96450,100465,105233.27,,96188.4
2025-01-16T00:00:00+00:00,100465,100866.1,97291,99945.797,98538.547,,95964.39
2025-01-17T00:00:00+00:00,99945.797,105815.8,99906.102,104048.8,118129.35,,96678.46
2025-01-18T00:00:00+00:00,104048.8,104963,102244,104520,73020.641,,97628.24
2025-01-19T00:00:00+00:00,104520,106476.5,99600,101310.7,123413.67,,98508.54
2025-01-20T00:00:00+00:00,101310.7,109951.7,99500.102,102258.7,307591.53,,99265.99
2025-01-21T00:00:00+00:00,102258.7,107265.6,100000,106133.3,152667.19,,100422.38
2025-01-22T00:00:00+00:00,106133.3,106387.4,103310,103670.4,82770.672,,101338.42
2025-01-23T00:00:00+00:00,103670.4,106875,101205.1,103862.4,243671.5,99207.59,102273.84
2025-01-24T00:00:00+00:00,103862.4,107118.6,102691.8,104800.1,83022.406,99538.735,103101.52
2025-01-25T00:00:00+00:00,104800.1,105276.1,104036.9,104709.4,28536.812,99857.18,103525.96
2025-01-26T00:00:00+00:00,104709.4,105591.5,102457.1,102553.7,33430.621,99875.57,103786.75
2025-01-27T00:00:00+00:00,102553.7,103217.8,97694.203,102024.2,160065.06,100131.38,103584.29
2025-01-28T00:00:00+00:00,102024.2,103800,100205.7,101278,92463.625,100444.17,103260.09
2025-01-29T00:00:00+00:00,101278,104777,101265.3,103700,91299.148,101003.78,103499.02
2025-01-30T00:00:00+00:00,103700,106421.1,103235,104684.6,71246.023,101503.8,103741.61
2025-01-31T00:00:00+00:00,104684.6,105998,101468.4,102377.6,88259.828,101894.21,103366.04
2025-02-01T00:00:00+00:00,102377.6,102735,100215.1,100576.5,47878.238,102197.54,103056.65
2025-02-02T00:00:00+00:00,100576.5,101410,95994.297,97645.703,121210.65,102354.41,102434.98
2025-02-03T00:00:00+00:00,97645.703,102457.8,91166.602,101294.8,255729.19,102592.99,102084.45
2025-02-04T00:00:00+00:00,101294.8,101684.7,96086.102,97706,144369.55,102455.04,101384.11
2025-02-05T00:00:00+00:00,97706,99170,96100.102,96568.5,82115.117,102286.17,100785.59
2025-02-06T00:00:00+00:00,96568.5,99099,95631.797,96500,81570.633,101908.73,100233.17
2025-02-07T00:00:00+00:00,96500,100120,95556.5,96440.602,121241.55,101504.76,99749.43
2025-02-08T00:00:00+00:00,96440.602,96840,95635.797,96406.797,28686.285,101259.57,99020.11
2025-02-09T00:00:00+00:00,96406.797,97275,94651.203,96428.602,50471.309,100968.06,98194.51
2025-02-10T00:00:00+00:00,96428.602,98343.398,95202.797,97384.203,69170.156,100530.61,97695.17
2025-02-11T00:00:00+00:00,97384.203,98459,94821.898,95748.602,80457.242,100134.51,97212.38
2025-02-12T00:00:00+00:00,95748.602,98089.102,94001.203,97828.102,111587.16,99832.8,97230.62
2025-02-13T00:00:00+00:00,97828.102,98047,95156.102,96570.703,80790.586,99421.33,96758.21
2025-02-14T00:00:00+00:00,96570.703,98821,96200,97450.102,76881.891,99058.365,96732.62
2025-02-15T00:00:00+00:00,97450.102,97933,97175.797,97533.898,26626.525,98807.375,96829.16
2025-02-16T00:00:00+00:00,97533.898,97678.703,96000,96060.102,32342.895,98509.17,96785.17
2025-02-17T00:00:00+00:00,96060.102,96988.297,95160,95735,57735.559,98232.02,96714.61
2025-02-18T00:00:00+00:00,95735,96730.898,93318.102,95618.797,93274.023,97827.96,96635.81
2025-02-19T00:00:00+00:00,95618.797,96897.102,95008.602,96616.398,64324.738,97424.55,96654.59
2025-02-20T00:00:00+00:00,96616.398,98680.797,96386.5,98246.703,64910.438,97218.005,96740.84
2025-02-21T00:00:00+00:00,98246.703,99454.203,94832.203,96198.398,112570.18,96999.1,96785.82
2025-02-22T00:00:00+00:00,96198.398,97056,95814.797,96554.398,23662.336,96944.535,96658.45
2025-02-23T00:00:00+00:00,96554.398,96637,95254,96262.602,25444.109,96692.925,96627.64
2025-02-24T00:00:00+00:00,96262.602,96536.297,91258.703,91478.203,89033.477,96381.535,96030.45
2025-02-25T00:00:00+00:00,91478.203,92520.898,86055.5,88665.297,189365.27,95986.375,95143.59
2025-02-26T00:00:00+00:00,88665.297,89389.898,82055.602,84208.602,195900.69,95371.805,93958.44
2025-02-27T00:00:00+00:00,84208.602,87043.602,82670,84686,126880.48,94784.075,92853.54
2025-02-28T00:00:00+00:00,84686,85124.398,78210.5,84307.602,239355.38,94179.115,91722.42
2025-03-01T00:00:00+00:00,84307.602,86533.297,83760.898,86024.398,66059.703,93658.905,90663.22
2025-03-02T00:00:00+00:00,86024.398,95058.703,85007.703,94259.703,162682.62,93502.68,90264.52
2025-03-03T00:00:00+00:00,94259.703,94414.203,85023.398,86165.297,201810.41,93023.515,89261.21
2025-03-04T00:00:00+00:00,86165.297,88946,81413.703,87260.102,209395.73,92495.115,88331.78
2025-03-05T00:00:00+00:00,87260.102,90975,86350.797,90567.797,119599.5,92194.97,87762.3
2025-03-06T00:00:00+00:00,90567.797,92781.602,87800.102,89899.602,129667.14,91817.445,87604.44
2025-03-07T00:00:00+00:00,89899.602,91279.5,84594.703,86758.5,232396.77,91278.675,87413.76
2025-03-08T00:00:00+00:00,86758.5,86886.297,85185.898,86187.203,41751.93,90785.03,87611.62
2025-03-09T00:00:00+00:00,86187.203,86485,79913.398,80692.297,111452.86,90032.895,87212.25
2025-03-10T00:00:00+00:00,80692.297,84050,77403.102,78563.203,201636.17,89180.115,86637.81
2025-03-11T00:00:00+00:00,78563.203,83622.898,76545,82889.203,181108.55,88493.755,86324.29
2025-03-12T00:00:00+00:00,82889.203,84489.797,80534.602,83649.898,146745.48,87763.915,85263.31
2025-03-13T00:00:00+00:00,83649.898,84343.203,79888,81072.297,110846.38,87007.61,84754.01
2025-03-14T00:00:00+00:00,81072.297,85299.898,80766.602,83948.297,102811.84,86377.305,84422.83
2025-03-15T00:00:00+00:00,83948.297,84661.797,83591.797,84308.398,31601.014,85779.595,83796.89
2025-03-16T00:00:00+00:00,84308.398,85136,81934.398,82528.5,85945.914,85332.11,83059.78
2025-03-17T00:00:00+00:00,82528.5,84728.5,82400.703,83955.102,85305.156,85096.6,82779.44
2025-03-18T00:00:00+00:00,83955.102,83975.102,81093.602,82675.703,82150.297,85019.955,82428.29
2025-03-19T00:00:00+00:00,82675.703,86970,82475.5,86792.297,112044.91,85125.27,83038.29
2025-03-20T00:00:00+00:00,86792.297,87400,83605.797,84168.898,109032.05,85118.335,83598.86
2025-03-21T00:00:00+00:00,84168.898,84800,83136.297,84054.602,70320.234,85019.845,83715.4
2025-03-22T00:00:00+00:00,84054.602,84500,83616,83805.898,20904.393,84497.155,83731
2025-03-23T00:00:00+00:00,83805.898,86088,83753.203,86037.797,42927.461,84490.78,84227.55
2025-03-24T00:00:00+00:00,86037.797,88740,85488.398,87459.898,109599.07,84500.77,84578.71
2025-03-25T00:00:00+00:00,87459.898,88500,86261,87362.398,87141.336,84340.5,84884.11
2025-03-26T00:00:00+00:00,87362.398,88284,85800.102,86860.797,87396.781,84188.56,85317.34
2025-03-27T00:00:00+00:00,86860.797,87727.898,85695.398,87181.703,82696.828,84209.72,85640
2025-03-28T00:00:00+00:00,87181.703,87479.398,83545,84375,109805.48,84119.11,85809.93
2025-03-29T00:00:00+00:00,84375,84573.797,81602.898,82603.898,69080.844,84214.69,85391.09
2025-03-30T00:00:00+00:00,82603.898,83496.797,81510,82347.898,56401.758,84403.925,85208.99
2025-03-31T00:00:00+00:00,82347.898,83895.703,81212.297,82504.398,110684.8,84384.685,85053.97
2025-04-01T00:00:00+00:00,82504.398,85555,82375.602,85130.5,104582.98,84458.715,85186.43
2025-04-02T00:00:00+00:00,85130.5,88560.102,82281.898,82468.102,182871.38,84528.505,84829.46
2025-04-03T00:00:00+00:00,82468.102,83888,81146,83175.203,112771.73,84489.85,84400.99
2025-04-04T00:00:00+00:00,83175.203,84736,81605,83862.102,177059.42,84467.535,84050.96
2025-04-05T00:00:00+00:00,83862.102,84244,82343,83496.703,45495.797,84515.945,83714.55
2025-04-06T00:00:00+00:00,83496.703,83774.297,77083.5,78376.102,136446.27,84236.995,82833.99
2025-04-07T00:00:00+00:00,78376.102,81216.797,74456.203,79144.102,292737.16,84060.415,82310.9
2025-04-08T00:00:00+00:00,79144.102,80833.602,76200.898,76286.898,145001.91,83535.145,81679.2
2025-04-09T00:00:00+00:00,76286.898,83560,74565.898,82593.898,270111.19,83456.395,81703.8
2025-04-10T00:00:00+00:00,82593.898,82719.203,78422,79557.5,139324.09,83231.54,81409.11
2025-04-11T00:00:00+00:00,79557.5,84288,78928.203,83382.797,134077.88,83210.385,81234.34
2025-04-12T00:00:00+00:00,83382.797,85888,82753.297,85238.398,71841.93,83170.415,81511.37
2025-04-13T00:00:00+00:00,85238.398,86099,82953.102,83716.797,89899.367,82983.26,81565.53
2025-04-14T00:00:00+00:00,83716.797,85771.102,83637.5,84547.398,99376.68,82842.51,81634.06
2025-04-15T00:00:00+00:00,84547.398,86444,83518.5,83603.703,98576.773,82679.655,81644.76
2025-04-16T00:00:00+00:00,83603.703,85522.703,83055,83986,99113.797,82519.87,82205.75
2025-04-17T00:00:00+00:00,83986,85455.797,83677.398,84906.5,68592.203,82546.445,82781.99
2025-04-18T00:00:00+00:00,84906.5,85104.703,84250,84419.602,26057.113,82637.23,83595.26
2025-04-19T00:00:00+00:00,84419.602,85644.602,84324.102,85048.5,36278.133,82772.26,83840.72
2025-04-20T00:00:00+00:00,85048.5,85290,83882.703,85145.5,40286.035,82904.315,84399.52
2025-04-21T00:00:00+00:00,85145.5,88442.898,85106.102,87471.102,129404.12,83021.345,84808.35
2025-04-22T00:00:00+00:00,87471.102,94000,87013.602,93400,153373.78,83567.94,85624.51
2025-04-23T00:00:00+00:00,93400,94722.898,91911.797,93635.203,113972.92,84090.94,86616.35
2025-04-24T00:00:00+00:00,93635.203,93985.797,91631.5,93945.5,78591.273,84595.11,87556.16
2025-04-25T00:00:00+00:00,93945.5,95724.5,92775.602,94596.203,96457.156,85150.085,88655.41
2025-04-26T00:00:00+00:00,94596.203,95150,93839.797,94578.297,31062.83,85960.195,89714.64
2025-04-27T00:00:00+00:00,94578.297,95279.398,93538.398,93700,40006.777,86687.99,90593.99
2025-04-28T00:00:00+00:00,93700,95564.797,92750,94969.703,97921.398,87622.13,91649
2025-04-29T00:00:00+00:00,94969.703,95444.297,93682,94200,82182.125,88202.435,92564.15
2025-04-30T00:00:00+00:00,94200,95187.5,92852.398,94118,81712.742,88930.46,93461.4
2025-05-01T00:00:00+00:00,94118,97383.102,94070.703,96430.898,97422.492,89582.865,94357.38
2025-05-02T00:00:00+00:00,96430.898,97868,96306.898,96833.5,74214.125,90162.62,94700.73
2025-05-03T00:00:00+00:00,96833.5,96865,95700.102,95815.5,34455.871,90767.555,94918.76
2025-05-04T00:00:00+00:00,95815.5,96257,94100,94224.102,45488.863,91251.39,94946.62
2025-05-05T00:00:00+00:00,94224.102,95149,93460.203,94698.703,82848.039,91806.14,94956.87
2025-05-06T00:00:00+00:00,94698.703,96880.602,93333.5,96799,82877.398,92446.79,95178.94
2025-05-07T00:00:00+00:00,96799,97700,95724.203,96988.102,93114.148,93050.87,95507.75
2025-05-08T00:00:00+00:00,96988.102,104253.8,96832.102,103240,152859.16,93991.89,96334.78
2025-05-09T00:00:00+00:00,103240,104330.1,102264.1,102931.2,87154.727,94886.025,97207.9
2025-05-10T00:00:00+00:00,102931.2,104986.7,102772,104782.3,47626.469,95867.865,98274.33
2025-05-11T00:00:00+00:00,104782.3,104936.7,103250,104080,63469.074,96698.31,99039.24
2025-05-12T00:00:00+00:00,104080,105842.1,100688,102746,124705.01,97165.61,99630.49
2025-05-13T00:00:00+00:00,102746,104949.9,101380,104070.6,83517.789,97687.38,100456
